iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
1460,0.0064749348,0.0096577963,0.0081231218,0.9841976602,0.9769553073,0.9796089385,0.9112309956,0.869047619,0.8828250401,54.178691745
1470,0.0064732958,0.0096587116,0.0081221616,0.9841976602,0.9769553073,0.9796089385,0.9112309956,0.869047619,0.8828250401,54.546037017
1480,0.0064717395,0.0096579017,0.008119291,0.9841976602,0.9773044693,0.9796089385,0.9112309956,0.8712871287,0.8828250401,54.914625372
1490,0.0064710922,0.0096562059,0.0081221487,0.9841103545,0.9773044693,0.9798882682,0.9107843137,0.8712871287,0.8846153846,55.285614616
1500,0.0064702926,0.0096572362,0.0081221239,0.9841103545,0.9769553073,0.9798882682,0.9107843137,0.869047619,0.8846153846,55.653672178
1510,0.0064692533,0.009658137,0.0081255185,0.9841976602,0.9769553073,0.9798882682,0.9112309956,0.869047619,0.8846153846,56.023173153
1520,0.0064687883,0.0096619972,0.0081275489,0.9841976602,0.9769553073,0.9798882682,0.9112309956,0.869047619,0.8846153846,56.398275814
1530,0.0064680761,0.0096711568,0.0081340082,0.984284966,0.9769553073,0.9798882682,0.9116781158,0.869047619,0.8846153846,56.770242957
1540,0.0064663874,0.0096696539,0.0081327717,0.984284966,0.9769553073,0.9798882682,0.9116781158,0.869047619,0.8846153846,57.139433321
1550,0.0064653369,0.0096713391,0.0081351055,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,57.508528058
1560,0.0064646323,0.0096760003,0.0081373283,0.984284966,0.9769553073,0.9798882682,0.9116781158,0.869047619,0.8846153846,57.880685303
1570,0.0064649026,0.0096783842,0.0081391366,0.984284966,0.9769553073,0.9798882682,0.9116781158,0.869047619,0.8846153846,58.253289419
1580,0.0064640546,0.0096790544,0.0081410762,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,58.626813153
1590,0.0064638607,0.0096795879,0.0081404851,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,58.993801
1600,0.0064633676,0.0096830306,0.0081420527,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,59.360628843
1610,0.0064629242,0.009682478,0.0081406734,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,59.73090915
1620,0.0064633095,0.0096874436,0.008142597,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,60.101496326
1630,0.006462934,0.0096885017,0.0081418609,0.9843722717,0.9769553073,0.9798882682,0.912125675,0.869047619,0.8846153846,60.472369084
1640,0.0064628451,0.0096882137,0.0081405332,0.9841976602,0.9773044693,0.9796089385,0.9112309956,0.8712871287,0.8832,60.84473554
1650,0.0064623696,0.0096913331,0.0081438061,0.984284966,0.9769553073,0.9796089385,0.9115913556,0.869047619,0.8832,61.224936069
1660,0.0064612239,0.0096925517,0.0081447635,0.984284966,0.9769553073,0.9796089385,0.9115913556,0.869047619,0.8832,61.597949701
1670,0.0064603994,0.0096946578,0.0081457825,0.984284966,0.9769553073,0.9796089385,0.9115913556,0.869047619,0.8832,61.969104386
1680,0.0064599592,0.0096974798,0.0081470292,0.9844595774,0.9769553073,0.9796089385,0.9126594701,0.869047619,0.8832,62.339589894
1690,0.0064589441,0.0096998966,0.0081481968,0.984284966,0.9769553073,0.9796089385,0.9116781158,0.869047619,0.8832,62.710104443
1700,0.0064573656,0.009705719,0.0081553958,0.984284966,0.9769553073,0.9796089385,0.9116781158,0.869047619,0.8832,63.083864303
1710,0.0064559498,0.0097045836,0.0081536225,0.9843722717,0.9769553073,0.9796089385,0.9122118686,0.869047619,0.8832,63.456100467
1720,0.006454421,0.0097067846,0.0081555859,0.9843722717,0.9769553073,0.9798882682,0.9122118686,0.869047619,0.8846153846,63.825558814
1730,0.0064535191,0.00970793,0.0081575407,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,64.197055379
1740,0.0064536742,0.0097048569,0.0081574678,0.9843722717,0.9773044693,0.9798882682,0.9122118686,0.8712871287,0.8846153846,64.567125424
1750,0.0064546087,0.0097069115,0.0081584237,0.984284966,0.9773044693,0.9798882682,0.9117647059,0.8712871287,0.8846153846,64.938848517
1760,0.0064536499,0.0097051555,0.0081598887,0.9843722717,0.9773044693,0.9798882682,0.9122118686,0.8712871287,0.8846153846,65.311989579
1770,0.0064534438,0.0097022323,0.0081614538,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,65.693413561
1780,0.0064523532,0.0097044342,0.0081602926,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,66.061854886
1790,0.0064518301,0.0097055796,0.0081590467,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,66.431982297
1800,0.0064508183,0.0097042278,0.0081591195,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,66.802001564
1810,0.0064502155,0.0097032261,0.0081590501,0.984284966,0.9776536313,0.9798882682,0.9116781158,0.8735177866,0.8846153846,67.172251035
1820,0.0064491484,0.0097028235,0.0081600974,0.984284966,0.9776536313,0.9798882682,0.9116781158,0.8735177866,0.8846153846,67.541034584
1830,0.0064476796,0.0097042145,0.0081615558,0.984284966,0.9776536313,0.9798882682,0.9116781158,0.8735177866,0.8846153846,67.910004012
1840,0.0064476206,0.0097059185,0.0081616232,0.984284966,0.9776536313,0.9798882682,0.9116781158,0.8735177866,0.8846153846,68.281272083
1850,0.006446958,0.0097095239,0.0081641395,0.984284966,0.9776536313,0.9798882682,0.9116781158,0.8735177866,0.8846153846,68.669526394
1860,0.0064470951,0.0097138446,0.0081660193,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,69.038568849
1870,0.0064469944,0.0097121269,0.0081664253,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,69.405502571
1880,0.0064467527,0.0097142106,0.0081681897,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,69.773851587
1890,0.006446746,0.0097154834,0.0081711882,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,70.146605425
1900,0.0064462815,0.0097174465,0.008172837,0.9843722717,0.9773044693,0.9798882682,0.9122118686,0.8712871287,0.8846153846,70.51936309
1910,0.0064458547,0.0097223014,0.0081779963,0.984284966,0.9773044693,0.9798882682,0.9116781158,0.8712871287,0.8846153846,70.888778426
1920,0.0064460652,0.0097205912,0.0081763435,0.9843722717,0.9773044693,0.9798882682,0.9122118686,0.8712871287,0.8846153846,71.257960009
1930,0.0064452453,0.0097171445,0.0081763133,0.9841976602,0.9773044693,0.9798882682,0.9112309956,0.8717948718,0.8846153846,71.628525158
1940,0.0064435086,0.009716021,0.0081784959,0.9843722717,0.9769553073,0.9801675978,0.912125675,0.8695652174,0.886035313,72.001376862
1950,0.0064426315,0.0097146244,0.0081766189,0.9843722717,0.9776536313,0.9801675978,0.912125675,0.8735177866,0.886035313,72.374071233
